"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,-3.593641,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,0.002509,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,0.400708,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2009-Q4","Q4-2009","PC","Percentage","0","Units",,,0.602328,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,-0.188883,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,0.438763,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,0.441571,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,1.127695,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,0.577217,,
"NLD","Netherlands","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,-0.089565,,
