"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2009-Q1","Q1-2009",116.409,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2009-Q2","Q2-2009",113.058,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2009-Q3","Q3-2009",112.068,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2009-Q4","Q4-2009",111.978,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2010-Q1","Q1-2010",111.638,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2010-Q2","Q2-2010",111.508,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2010-Q3","Q3-2010",111.608,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2010-Q4","Q4-2010",110.958,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2011-Q1","Q1-2011",111.098,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2011-Q2","Q2-2011",109.577,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2011-Q3","Q3-2011",109.057,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2011-Q4","Q4-2011",107.137,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2012-Q1","Q1-2012",105.096,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2012-Q2","Q2-2012",103.356,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2012-Q3","Q3-2012",99.335,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2012-Q4","Q4-2012",99.755,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2013-Q1","Q1-2013",97.044,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2013-Q2","Q2-2013",95.044,,
"1","Country","NLD","Netherlands","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","Q","Quarterly","2013-Q3","Q3-2013",95.654,,
