"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,-4.60633779810519,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,-2.53424657534247,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,3.72452565003514,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2009-Q4","Q4-2009","PC","Percentage","0","Units",,,1.45663956639567,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,4.40734557595996,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,1.72689478733606,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,-2.82929896259036,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,3.49401488191522,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,-0.343857455454827,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,-2.63488080301129,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,1.96520618556698,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,-2.87519747235385,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,2.01691607026677,,
"PRINTO01","Industrial production, s.a.","NLD","Netherlands","GP","Growth previous period","Q","Quarterly","2012-Q2","Q2-2012","PC","Percentage","0","Units",,,1.27551020408161,,
