"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,3.8,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,4.2,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,4.6,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2009-Q4","Q4-2009","PC","Percentage","0","Units",,,4.86666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,5.1,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,4.93333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,4.86666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,4.73333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,4.96666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2011-Q4","Q4-2011","PC","Percentage","0","Units",,,5.33333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","NLD","Netherlands","ST","Level, ratio or index","Q","Quarterly","2012-Q1","Q1-2012","PC","Percentage","0","Units",,,5.5,,
